"Nome completo";"E-mail";"Notas - Notas";"Telefone";""
"CEI José Alencar""";"ceijosealencar@saogoncalo.mg.gov.br";"";" 1872";""
"Escola de Jurubeba""";"ceijurubeba@gmail.com";"";" 1869";""
"CESGRA""";"cesgradigital@gmail.com";"";" 1870";""
"Secretaria de Educação""";"educacao@saogoncalo.mg.gov.br";"";" 1860";""
"Escola do Una""";"educacaoinfantildouna@gmail.com";"";" 1967";""
"Escola Integral Ioleide (Recreio)""";"emtiioleideaparecida@gmail.com";"";" 1980";""
"Escola Manoel Gonçalves""";"enmanoelgmoreira@gmail.com";"";" 1924";""
"Almoxarifado 1 (Educação)""";"expedicaoalmoxarifadosme@gmail.com";"";" 2126";""
"Escola Integral Maria de Lourdes Moreira dos Santos (Centro)""";"integralmariadelourdes@saogoncalo.mg.gov.br";"";" 1932";""
"Escola Integral Vargem Alegre""";"integralvargemalegre@saogoncalo.mg.gov.br";"";" 1868";""
"NAIE"""
"Escola de Pacas""";"Não tem";"";" 1846";""
"Creche Norval de Barros (Borges)""";"Não tem";"";" 1954";""
"Equoterapia""";"Não tem";"";" 1930";""
"Transporte Escolar""";"transporteescolar20242025@gmail.com";"";" 1830";""
