"Nome completo";"E-mail";"Notas - Notas";"Telefone";""
"Hospital""";"";"";"1840";""
"Almoxarifado (Saúde)""";"almoxarifadorequisicaosaude@gmail.com";"";"2081";""
"CAMPS""";"campssra@outlook.com";"";"1984";""
"Centro de Reabilitação""";"centrodereabilitacaosgra@gmail.com";"";"1857";""
"CES""";"ces_@yahoo.com.br";"";"1829";""
"Secretaria de Saúde""";"gestor.saude@saogoncalo.mg.gov.br";"";"1827";""
"Farmácia Especializada""";"medicamentosalmoxarifado@gmail.com";"";"1848";""
"Peixe Vivo""";"nupisipeixevivo@yahoo.com.br";"";"2110";""
"Escap""";"nupisipeixevivo@yahoo.com.br";"";"1983";""
"PSF Patrimônio""";"psf.urbano@gmail.com";"";"1844";""
"PSF Bom Sucesso""";"psf2vargemalegre@gmail.com";"";"1906";""
"PSF Jurubeba""";"psf2vargemalegre@gmail.com";"";"1849";""
"PSF Pedras""";"psf2vargemalegre@gmail.com";"";"1858";""
"PSF Timirim""";"psf2vargemalegre@gmail.com";"";"1913";""
"PSF Vargem Alegre""";"psf2vargemalegre@gmail.com";"";"1845";""
"PSF Fernandes""";"psf5sgra@gmail.com";"";"1861";""
"PSF Pacas""";"psf5sgra@gmail.com";"";"1853";""
"PSF Ponte Coronel 1""";"psf5sgra@gmail.com";"";"1941";""
"PSF Ponte Coronel 2""";"psf5sgra@gmail.com";"";"1942";""
"PSF Una""";"psf5sgra@gmail.com";"";"1856";""
"PSF Guanabara""";"psfguanabara@yahoo.com.br";"";"1854";""
"PSF Borges""";"psfrecreio3@gmail.com";"";"1862";""
"PSF Recreio""";"psfrecreio3@gmail.com";"";"1850";""
"PSF São José""";"psfrecreio3@gmail.com";"";"1847";""
"PSF Vargem da Lua""";"psfrecreio3@gmail.com";"";"1883";""
"Centro Odontológico""";"saudebucalsaogoncalo@gmail.com";"";"1832";""
"Serviço Social da Saúde""";"servicosocialdasaude@yahoo.com.br";"";"1838";""
"TFD"""
"Transporte (Saúde)"""
"VISA (Vigilância Sanitária)""";"visa@saogoncalo.mg.gov.br";"";"1835";""
