"Nome completo";"E-mail";"Notas - Notas";"Telefone";""
"Manutenção de Estradas Rurais""";"almoxarifado@saogoncalo.mg.gov.br";"";"1968";""
"Pátio de Obras""";"almoxarifado@saogoncalo.mg.gov.br";"";"1891";""
"Ponto de Apoio 1 (Ponte Coronel)""";"c.apoiopontecoronel@gmail.com";"";"1952";""
"Velório""";"cemiteriossgra@gmail.com";"";"1904";""
"DAE""";"dae@saogoncalo.mg.gov.br";"";"1831";""
"ETA 1 (Patrimônio)""";"eta@saogoncalo.mg.gov.br";"";"1898";""
"Ponto de Apoio 2 (Vargem Alegre)""";"luzimarsouza75@gmail.com";"";"1979";""
"Secretaria de Serviços Urbanos""";"servicosurbanos@saogoncalo.mg.gov.br";"";"1895";""
"Limpeza Urbana"""
"Elétrica""";"setoreletricopm2@yahoo.com.br";"";"1892";""
