"Nome completo";"E-mail";"Notas - Notas";"Telefone";""
"Posto de Identificação""";"";"";"1923";""
"Secretaria de Trabalho e Desenvolvimento Social""";"acaosocial@saogoncalo.mg.gov.br";"";"2254";""
"Defensoria Pública""";"ajudiciariasgra@yahoo.com";"";"1956";""
"Conselho Tutelar""";"conselhotutelarsgra@yahoo.com.br";"";"1882";""
"CRAS""";"cras@saogoncalo.mg.gov.br";"";"1884";""
"CRAS > Galpão (Costura)""";"cras@saogoncalo.mg.gov.br";"";"1933";""
"CREAS""";"creas@saogoncalo.gov.mg.br";"";"1887";""
"Habitação""";"habitacao@saogoncalo.gov.mg.br";"";"1880";""
"Sala dos Conselhos""";"saladosconselhos@yahoo.com";"";"1988";""
"SINE""";"sinesgra@gmail.com";"";"1885";""
